Invoice,Supplier,Date,Total Amount (৳),Item Type,Item Name,Item SKU,Size (ml),Quantity,Cost/Unit (৳),Total Cost (৳),Notes
,Amanat Attar House ,,,,,,,50,,,
,Amanat Attar House ,,,,,,,55,,,
,Amanat Attar House ,,,,,,,12,,,
,,,,,,,,1,,,
,,,,,,,,1,,,
,,,,,,,,6,,,
,,,,,,,,12,,,
,Amanat Attar House ,,,,,,,16,,,
,Amanat Attar House ,,,,,,,250,,,
,Amanat Attar House ,,,,,,,30,,,
,Amanat Attar House ,,,,,,,20,,,
,Amanat Attar House ,,,,,,,60,,,New Item  
,Amanat Attar House ,,,,,,,20,,,New Item  
,Amanat Attar House ,,,,,,,50,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,20,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,20,,,New Item  
,Amanat Attar House ,,,,,,,30,,,New Item  
,Amanat Attar House ,,,,,,,24,,,New Item  
,Amanat Attar House ,,,,,,,12,,,New Item  
,Amanat Attar House ,,,,,,,6,,,New Item  
,Amanat Attar House ,,,,,,,6,,,New Item  
,Amanat Attar House ,,,,,,,15,,,
,Amanat Attar House ,,,,,,,30,,,
,Amanat Attar House ,,,,,,,17.5,,,9th
,Amanat Attar House ,,,,,,,3,,,9th
,Amanat Attar House ,,,,,,,1,,,
,Amanat Attar House ,,,,,,,8,,,
,Amanat Attar House ,,,,,,,60,,,Adjust
,Amanat Attar House ,,,,,,,50,,,Adjust
,Amanat Attar House ,,,,,,,30,,,Adjust
,Amanat Attar House ,,,,,,,1,,,Adjust
,Amanat Attar House ,,,,,,,30,,,Adjust
,Amanat Attar House ,,,,,,,30,,,Adjust
,Amanat Attar House ,,,,,,,15,,,Adjust
,Amanat Attar House ,,,,,,,30,,,
,Amanat Attar House ,,,,,,,6,,,
,Amanat Attar House ,,,,,,,50,,,8th
,Amanat Attar House ,,,,,,,40,,,8th
,Amanat Attar House ,,,,,,,30,,,8th
,Amanat Attar House ,,,,,,,50,,,7th
,Amanat Attar House ,,,,,,,50,,,7th
,Amanat Attar House ,,,,,,,50,,,7th
,Amanat Attar House ,,,,,,,50,,,7th
,Amanat Attar House ,,,,,,,50,,,7th
,Amanat Attar House ,,,,,,,50,,,7th
,Amanat Attar House ,,,,,,,30,,,7th
,Amanat Attar House ,,,,,,,60,,,7th
,Amanat Attar House ,,,,,,,50,,,7th
,Amanat Attar House ,,,,,,,30,,,7th
,Amanat Attar House ,,,,,,,50,,,
,Amanat Attar House ,,,,,,,30,,,
,Amanat Attar House ,,,,,,,30,,,
,Amanat Attar House ,,,,,,,30,,,
