invoiceNo,channel,saleDate,totalAmount,paymentStatus,notes,createdAt,itemCount,totalQuantity,items
INV-0510,Other,2026-07-06,180,paid,Nafees,2026-07-06T17:59:53.192Z,1,1,"[{""productName"":""Nautica voyage"",""productSKU"":""NV"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":180,""totalPrice"":180,""productType"":""roll-on""}]"
INV-0509,Other,2026-07-06,150,paid,Nafees,2026-07-06T17:59:29.886Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0508,December,2026-06-27,270,paid,,2026-06-27T19:50:43.722Z,1,1,"[{""productName"":""Nautica voyage Spray"",""productSKU"":""NV_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":270,""totalPrice"":270,""productType"":""spray""}]"
INV-0507,December,2026-06-27,1000,paid,,2026-06-27T19:50:43.308Z,1,1,"[{""productName"":""Armanis.w.y Spray"",""productSKU"":""ArmWy_SP"",""sizeMl"":30,""quantity"":1,""unitPrice"":1000,""totalPrice"":1000,""productType"":""spray""}]"
INV-0506,December,2026-06-27,270,paid,,2026-06-27T19:50:43.058Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":6,""quantity"":1,""unitPrice"":270,""totalPrice"":270,""productType"":""roll-on""}]"
INV-0505,December,2026-06-27,750,paid,,2026-06-27T19:50:42.811Z,1,1,"[{""productName"":""Davidoff Cool Water"",""productSKU"":""DavCoo"",""sizeMl"":15,""quantity"":1,""unitPrice"":750,""totalPrice"":750,""productType"":""roll-on""}]"
INV-0504,December,2026-06-27,250,paid,,2026-06-27T19:50:42.552Z,1,1,"[{""productName"":""Fantasy"",""productSKU"":""Fant"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0503,December,2026-06-27,250,paid,,2026-06-27T19:50:42.304Z,1,1,"[{""productName"":""Fantasy"",""productSKU"":""Fant"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0502,December,2026-06-27,300,paid,,2026-06-27T19:50:42.056Z,1,1,"[{""productName"":""Burberry Her"",""productSKU"":""BurH"",""sizeMl"":6,""quantity"":1,""unitPrice"":300,""totalPrice"":300,""productType"":""roll-on""}]"
INV-0501,December,2026-06-27,150,paid,,2026-06-27T19:50:41.805Z,1,1,"[{""productName"":""Creed Aventus"",""productSKU"":""CreAve"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0500,December,2026-06-27,150,paid,,2026-06-27T19:50:41.549Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0499,December,2026-06-27,950,paid,,2026-06-27T19:50:41.122Z,1,1,"[{""productName"":""SRK Spray"",""productSKU"":""SR_SP"",""sizeMl"":15,""quantity"":1,""unitPrice"":950,""totalPrice"":950,""productType"":""spray""}]"
INV-0498,December,2026-06-27,850,paid,,2026-06-27T19:50:40.705Z,1,1,"[{""productName"":""Creed absolute Spray"",""productSKU"":""CreAbs_SP"",""sizeMl"":15,""quantity"":1,""unitPrice"":850,""totalPrice"":850,""productType"":""spray""}]"
INV-0497,December,2026-06-27,850,paid,,2026-06-27T19:50:40.294Z,1,1,"[{""productName"":""Creed absolute Spray"",""productSKU"":""CreAbs_SP"",""sizeMl"":15,""quantity"":1,""unitPrice"":850,""totalPrice"":850,""productType"":""spray""}]"
INV-0496,December,2026-06-27,750,paid,,2026-06-27T19:50:39.890Z,1,1,"[{""productName"":""Davidoff Cool Water Spray"",""productSKU"":""DavCoo_SP"",""sizeMl"":15,""quantity"":1,""unitPrice"":750,""totalPrice"":750,""productType"":""spray""}]"
INV-0495,December,2026-06-27,250,paid,,2026-06-27T19:50:39.483Z,1,1,"[{""productName"":""Davidoff Cool Water Spray"",""productSKU"":""DavCoo_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0494,December,2026-06-27,100,paid,,2026-06-27T19:50:39.231Z,1,1,"[{""productName"":""Davidoff Cool Water"",""productSKU"":""DavCoo"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0493,December,2026-06-27,100,paid,,2026-06-27T19:50:38.978Z,1,1,"[{""productName"":""Good Girl"",""productSKU"":""GooGir"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0492,December,2026-06-27,100,paid,,2026-06-27T19:50:38.727Z,1,1,"[{""productName"":""Blue berry"",""productSKU"":""BluBer"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0491,December,2026-06-27,100,paid,,2026-06-27T19:50:38.473Z,1,1,"[{""productName"":""White Oud"",""productSKU"":""WO"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""roll-on""}]"
INV-0490,December,2026-06-27,220,paid,,2026-06-27T19:50:38.209Z,1,1,"[{""productName"":""Paris Hilton"",""productSKU"":""ParHil"",""sizeMl"":6,""quantity"":1,""unitPrice"":220,""totalPrice"":220,""productType"":""roll-on""}]"
INV-0489,December,2026-06-27,220,paid,,2026-06-27T19:50:37.958Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":6,""quantity"":1,""unitPrice"":220,""totalPrice"":220,""productType"":""roll-on""}]"
INV-0488,December,2026-06-27,250,paid,,2026-06-27T19:50:37.705Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0487,December,2026-06-27,360,paid,,2026-06-27T19:50:37.456Z,1,1,"[{""productName"":""Ahsas al Arabia"",""productSKU"":""AhsAra"",""sizeMl"":15,""quantity"":1,""unitPrice"":360,""totalPrice"":360,""productType"":""roll-on""}]"
INV-0486,December,2026-06-27,200,paid,,2026-06-27T19:50:37.195Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":200,""totalPrice"":200,""productType"":""roll-on""}]"
INV-0485,December,2026-06-27,250,paid,,2026-06-27T19:50:36.785Z,1,1,"[{""productName"":""CK-1 Spray"",""productSKU"":""CK1_SP"",""sizeMl"":30,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0484,December,2026-06-27,350,paid,,2026-06-27T19:50:36.377Z,1,1,"[{""productName"":""Dior Sauvage Spray"",""productSKU"":""DioSau_SP"",""sizeMl"":30,""quantity"":1,""unitPrice"":350,""totalPrice"":350,""productType"":""spray""}]"
INV-0483,December,2026-06-27,270,paid,,2026-06-27T19:50:36.127Z,1,1,"[{""productName"":""Dior Sauvage"",""productSKU"":""DioSau"",""sizeMl"":6,""quantity"":1,""unitPrice"":270,""totalPrice"":270,""productType"":""roll-on""}]"
INV-0482,December,2026-06-27,300,paid,,2026-06-27T19:50:35.876Z,1,1,"[{""productName"":""Dunhill Icon"",""productSKU"":""DunIco"",""sizeMl"":6,""quantity"":1,""unitPrice"":300,""totalPrice"":300,""productType"":""roll-on""}]"
INV-0481,December,2026-06-27,180,paid,,2026-06-27T19:50:35.624Z,1,1,"[{""productName"":""Chocolate"",""productSKU"":""CoCo"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":180,""totalPrice"":180,""productType"":""roll-on""}]"
INV-0480,December,2026-06-27,180,paid,,2026-06-27T19:50:35.373Z,1,1,"[{""productName"":""Vanila"",""productSKU"":""Vanil"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":180,""totalPrice"":180,""productType"":""roll-on""}]"
INV-0479,December,2026-06-27,150,paid,,2026-06-27T19:50:35.115Z,1,1,"[{""productName"":""Ahsas al Arabia"",""productSKU"":""AhsAra"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0478,December,2026-06-27,200,paid,,2026-06-27T19:50:34.863Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":200,""totalPrice"":200,""productType"":""roll-on""}]"
INV-0477,December,2026-06-27,300,paid,,2026-06-27T19:50:34.605Z,1,1,"[{""productName"":""Hawas For Him"",""productSKU"":""HFH"",""sizeMl"":6,""quantity"":1,""unitPrice"":300,""totalPrice"":300,""productType"":""roll-on""}]"
INV-0476,December,2026-06-27,150,paid,,2026-06-27T19:50:34.347Z,1,1,"[{""productName"":""Hawas For Him"",""productSKU"":""HFH"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0475,December,2026-06-27,150,paid,,2026-06-27T19:50:34.012Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0474,December,2026-06-27,150,paid,,2026-06-27T19:50:33.743Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0473,December,2026-06-27,150,paid,,2026-06-27T19:50:33.491Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0472,December,2026-06-27,250,paid,,2026-06-27T19:50:33.235Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0471,December,2026-06-27,250,paid,,2026-06-27T19:50:32.977Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0470,December,2026-06-27,250,paid,,2026-06-27T19:50:32.725Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0469,December,2026-06-27,250,paid,,2026-06-27T19:50:32.472Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0468,December,2026-06-27,250,paid,,2026-06-27T19:50:32.067Z,1,1,"[{""productName"":""Hawas For Him Spray"",""productSKU"":""HFH_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0467,December,2026-06-27,1120,paid,,2026-06-27T19:50:31.816Z,1,1,"[{""productName"":""Armanis.w.y Spray"",""productSKU"":""ArmWy_SP"",""sizeMl"":50,""quantity"":1,""unitPrice"":1120,""totalPrice"":1120,""productType"":""spray""}]"
INV-0466,December,2026-06-27,150,paid,,2026-06-27T19:50:31.565Z,1,1,"[{""productName"":""Ultra male"",""productSKU"":""UltMal"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
INV-0465,December,2026-06-27,300,paid,,2026-06-27T19:50:31.316Z,1,1,"[{""productName"":""Hawas For Him"",""productSKU"":""HFH"",""sizeMl"":6,""quantity"":1,""unitPrice"":300,""totalPrice"":300,""productType"":""roll-on""}]"
INV-0464,December,2026-06-27,250,paid,,2026-06-27T19:50:30.893Z,1,1,"[{""productName"":""Gucci Flora Spray"",""productSKU"":""GucFla_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0463,December,2026-06-27,280,paid,,2026-06-27T19:50:30.482Z,1,1,"[{""productName"":""Good Girl Spray"",""productSKU"":""GooGir_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":280,""totalPrice"":280,""productType"":""spray""}]"
INV-0462,December,2026-06-27,280,paid,,2026-06-27T19:50:30.068Z,1,1,"[{""productName"":""LOST Cherry Spray"",""productSKU"":""LostChe_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":280,""totalPrice"":280,""productType"":""spray""}]"
INV-0461,December,2026-06-27,310,paid,,2026-06-27T19:50:29.812Z,1,1,"[{""productName"":""Hawas For Him"",""productSKU"":""HFH"",""sizeMl"":6,""quantity"":1,""unitPrice"":310,""totalPrice"":310,""productType"":""roll-on""}]"
INV-0460,December,2026-06-27,1500,paid,,2026-06-27T19:50:29.565Z,1,1,"[{""productName"":""SRK Spray"",""productSKU"":""SR_SP"",""sizeMl"":50,""quantity"":1,""unitPrice"":1500,""totalPrice"":1500,""productType"":""spray""}]"
INV-0459,December,2026-06-27,230,paid,,2026-06-27T19:50:29.157Z,1,1,"[{""productName"":""Armanis.w.y Spray"",""productSKU"":""ArmWy_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":230,""totalPrice"":230,""productType"":""spray""}]"
INV-0458,December,2026-06-27,1500,paid,,2026-06-27T19:50:28.902Z,1,1,"[{""productName"":""Versace EROS Spray"",""productSKU"":""VerEros_SP"",""sizeMl"":100,""quantity"":1,""unitPrice"":1500,""totalPrice"":1500,""productType"":""spray""}]"
INV-0457,December,2026-06-27,320,paid,,2026-06-27T19:50:28.492Z,1,1,"[{""productName"":""Diptyque tam dao Spray"",""productSKU"":""DipTam_SP"",""sizeMl"":30,""quantity"":1,""unitPrice"":320,""totalPrice"":320,""productType"":""spray""}]"
INV-0456,December,2026-06-27,250,paid,,2026-06-27T19:50:28.075Z,1,1,"[{""productName"":""Dior Sauvage Spray"",""productSKU"":""DioSau_SP"",""sizeMl"":30,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""spray""}]"
INV-0455,December,2026-06-27,180,paid,,2026-06-27T19:50:27.668Z,1,1,"[{""productName"":""Armanis.w.y Spray"",""productSKU"":""ArmWy_SP"",""sizeMl"":30,""quantity"":1,""unitPrice"":180,""totalPrice"":180,""productType"":""spray""}]"
INV-0454,December,2026-06-27,60,paid,,2026-06-27T19:50:27.249Z,1,1,"[{""productName"":""LOST Cherry Spray"",""productSKU"":""LostChe_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":60,""totalPrice"":60,""productType"":""spray""}]"
INV-0453,December,2026-06-27,130,paid,,2026-06-27T19:50:26.838Z,1,1,"[{""productName"":""Luxe Special Spray"",""productSKU"":""LUXE1_SP"",""sizeMl"":15,""quantity"":1,""unitPrice"":130,""totalPrice"":130,""productType"":""spray""}]"
INV-0452,December,2026-06-27,300,paid,,2026-06-27T19:50:26.586Z,1,1,"[{""productName"":""Dunhill Icon"",""productSKU"":""DunIco"",""sizeMl"":6,""quantity"":1,""unitPrice"":300,""totalPrice"":300,""productType"":""roll-on""}]"
INV-0451,December,2026-06-27,250,paid,,2026-06-27T19:50:26.334Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0450,December,2026-06-27,250,paid,,2026-06-27T19:50:26.082Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0449,December,2026-06-27,250,paid,,2026-06-27T19:50:25.838Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":250,""totalPrice"":250,""productType"":""roll-on""}]"
INV-0448,December,2026-06-27,330,paid,,2026-06-27T19:50:25.584Z,1,1,"[{""productName"":""Hawas For Him"",""productSKU"":""HFH"",""sizeMl"":6,""quantity"":1,""unitPrice"":330,""totalPrice"":330,""productType"":""roll-on""}]"
INV-0447,December,2026-06-27,270,paid,,2026-06-27T19:50:25.330Z,1,1,"[{""productName"":""Vampire B."",""productSKU"":""VampB"",""sizeMl"":6,""quantity"":1,""unitPrice"":270,""totalPrice"":270,""productType"":""roll-on""}]"
INV-0446,December,2026-06-27,230,paid,,2026-06-27T19:50:25.078Z,1,1,"[{""productName"":""CK-1"",""productSKU"":""CK1"",""sizeMl"":6,""quantity"":1,""unitPrice"":230,""totalPrice"":230,""productType"":""roll-on""}]"
INV-0445,December,2026-06-27,100,paid,,2026-06-27T19:50:24.655Z,1,1,"[{""productName"":""Dior Sauvage Spray"",""productSKU"":""DioSau_SP"",""sizeMl"":6,""quantity"":1,""unitPrice"":100,""totalPrice"":100,""productType"":""spray""}]"
INV-0444,December,2026-06-27,160,paid,,2026-06-27T19:50:24.408Z,1,1,"[{""productName"":""Versace EROS"",""productSKU"":""VerEros"",""sizeMl"":15,""quantity"":1,""unitPrice"":160,""totalPrice"":160,""productType"":""roll-on""}]"
INV-0443,December,2026-06-27,150,paid,,2026-06-27T19:50:24.157Z,1,1,"[{""productName"":""Hawas For Him"",""productSKU"":""HFH"",""sizeMl"":3.5,""quantity"":1,""unitPrice"":150,""totalPrice"":150,""productType"":""roll-on""}]"
