sku,sizeMl,productName,imageFile
DunDes,3,Dunhil desire,
DunDes,3.5,Dunhil desire,
DunDes,6,Dunhil desire,
DunDes,15,Dunhil desire,
DunDes,30,Dunhil desire,
DunDes_SP,6,Dunhil desire Spray,
DunDes_SP,15,Dunhil desire Spray,
DunDes_SP,30,Dunhil desire Spray,
DunDes_SP,50,Dunhil desire Spray,
DunDes_SP,100,Dunhil desire Spray,
VerEros,3,Versace EROS,
VerEros,3.5,Versace EROS,
VerEros,6,Versace EROS,
VerEros,15,Versace EROS,
VerEros,30,Versace EROS,
VerEros_SP,6,Versace EROS Spray,
VerEros_SP,15,Versace EROS Spray,
VerEros_SP,30,Versace EROS Spray,
VerEros_SP,50,Versace EROS Spray,
VerEros_SP,100,Versace EROS Spray,
BluBer,3,Blue berry,
BluBer,3.5,Blue berry,
BluBer,6,Blue berry,
BluBer,15,Blue berry,
BluBer,30,Blue berry,
BluBer_SP,6,Blue berry Spray,
BluBer_SP,15,Blue berry Spray,
BluBer_SP,30,Blue berry Spray,
BluBer_SP,50,Blue berry Spray,
BluBer_SP,100,Blue berry Spray,
VampB,3,Vampire B.,
VampB,3.5,Vampire B.,
VampB,6,Vampire B.,
VampB,15,Vampire B.,
VampB,30,Vampire B.,
VampB_SP,6,Vampire B. Spray,
VampB_SP,15,Vampire B. Spray,
VampB_SP,30,Vampire B. Spray,
VampB_SP,50,Vampire B. Spray,
VampB_SP,100,Vampire B. Spray,
CK1,3,CK-1,
CK1,3.5,CK-1,
CK1,6,CK-1,
CK1,15,CK-1,
CK1,30,CK-1,
CK1_SP,6,CK-1 Spray,
CK1_SP,15,CK-1 Spray,
CK1_SP,30,CK-1 Spray,
CK1_SP,50,CK-1 Spray,
CK1_SP,100,CK-1 Spray,
LostChe,3,LOST Cherry,
LostChe,3.5,LOST Cherry,
LostChe,6,LOST Cherry,
LostChe,15,LOST Cherry,
LostChe,30,LOST Cherry,
LostChe_SP,6,LOST Cherry Spray,
LostChe_SP,15,LOST Cherry Spray,
LostChe_SP,30,LOST Cherry Spray,
LostChe_SP,50,LOST Cherry Spray,
LostChe_SP,100,LOST Cherry Spray,
UltMal,3,Ultra male,
UltMal,3.5,Ultra male,
UltMal,6,Ultra male,
UltMal,15,Ultra male,
UltMal,30,Ultra male,
UltMal_SP,6,Ultra male Spray,
UltMal_SP,15,Ultra male Spray,
UltMal_SP,30,Ultra male Spray,
UltMal_SP,50,Ultra male Spray,
UltMal_SP,100,Ultra male Spray,
Fant,3,Fantasy,
Fant,3.5,Fantasy,
Fant,6,Fantasy,
Fant,15,Fantasy,
