id,name,sku,currentStockMl,avgCostPerMl,purchaseCount,createdAt,updatedAt
6a3e242d2f2b2f71f964fcfd,Dunhil desire,DunDes,100,8,2,2026-06-26T07:03:09.290Z,2026-08-22T21:36:40.779Z
6a3e242d2f2b2f71f964fd00,Versace EROS,VerEros,130,9.23,3,2026-06-26T07:03:09.385Z,2026-08-22T21:36:41.094Z
6a3e242d2f2b2f71f964fd04,Blue berry,BluBer,200,12,4,2026-06-26T07:03:09.481Z,2026-08-22T21:36:42.099Z
6a3e242d2f2b2f71f964fd08,Vampire B.,VampB,350,13.757142857142858,6,2026-06-26T07:03:09.605Z,2026-08-22T21:36:33.320Z
6a3e242d2f2b2f71f964fd0c,CK-1,CK1,70,8,2,2026-06-26T07:03:09.744Z,2026-08-22T21:36:42.514Z
6a3e242d2f2b2f71f964fd0f,LOST Cherry,LostChe,230,8.869565217391305,5,2026-06-26T07:03:09.865Z,2026-08-22T21:36:35.261Z
6a3e242d2f2b2f71f964fd13,Ultra male,UltMal,100,11.5,2,2026-06-26T07:03:09.958Z,2026-08-22T21:36:42.695Z
6a3e242e2f2b2f71f964fd16,Fantasy,Fant,120,8,3,2026-06-26T07:03:10.050Z,2026-08-22T21:36:35.667Z
6a3e242e2f2b2f71f964fd19,Blue de Chanel,BluCha,50,13,1,2026-06-26T07:03:10.139Z,2026-08-22T21:36:43.289Z
6a3e242e2f2b2f71f964fd1b,victoriya secret,VicSec,80,13,2,2026-06-26T07:03:10.238Z,2026-08-22T21:36:43.655Z
6a3e242e2f2b2f71f964fd1e,Armanis.w.y,ArmWy,160,8,3,2026-06-26T07:03:10.328Z,2026-08-22T21:36:32.191Z
6a3e242e2f2b2f71f964fd21,Dior Sauvage,DioSau,240,13,6,2026-06-26T07:03:10.421Z,2026-08-22T21:36:34.886Z
6a3e242e2f2b2f71f964fd25,TubeRose,TubRos,30,18,1,2026-06-26T07:03:10.513Z,2026-06-26T07:03:10.513Z
6a3e242e2f2b2f71f964fd27,Rose,Rose,30,13,1,2026-06-26T07:03:10.604Z,2026-06-26T07:03:10.604Z
6a3e242e2f2b2f71f964fd29,Good Girl,GooGir,150,13.2,4,2026-06-26T07:03:10.702Z,2026-08-22T21:36:45.093Z
6a3e242e2f2b2f71f964fd2d,Vanila,Vanil,110,7.318181818181818,3,2026-06-26T07:03:10.795Z,2026-08-22T21:36:34.163Z
6a3e242e2f2b2f71f964fd30,Davidoff Cool Water,DavCoo,100,9,2,2026-06-26T07:03:10.891Z,2026-08-22T21:36:44.707Z
6a3e242e2f2b2f71f964fd33,Ameer Al oud,AmeOud,50,8,1,2026-06-26T07:03:10.986Z,2026-08-22T21:36:45.471Z
6a3e242f2f2b2f71f964fd35,Ahsas al Arabia,AhsAra,50,8,1,2026-06-26T07:03:11.080Z,2026-08-22T21:36:45.850Z
6a3e242f2f2b2f71f964fd37,Baccarat rouge,BacRou,30,14,1,2026-06-26T07:03:11.173Z,2026-08-22T21:36:46.212Z
6a3e242f2f2b2f71f964fd39,Aqua DI Gio,AquGio,50,14,2,2026-06-26T07:03:11.266Z,2026-08-22T21:36:40.020Z
6a3e242f2f2b2f71f964fd3b,Red Tobaco,RedTob,30,12,1,2026-06-26T07:03:11.358Z,2026-08-22T21:36:47.793Z
6a3e242f2f2b2f71f964fd3d,kacha beli,KacBel,50,4,1,2026-06-26T07:03:11.453Z,2026-08-22T21:36:48.176Z
6a3e242f2f2b2f71f964fd3f,Miss Dior,MisDio,30,14,1,2026-06-26T07:03:11.555Z,2026-08-22T21:36:47.401Z
6a3e242f2f2b2f71f964fd41,Paris Hilton,ParHil,30,8,1,2026-06-26T07:03:11.648Z,2026-08-22T21:36:47.041Z
6a3e242f2f2b2f71f964fd43,Chanel chance,ChaCha,60,14.5,2,2026-06-26T07:03:11.741Z,2026-08-22T21:36:48.639Z
6a3e242f2f2b2f71f964fd46,Ethanol,ETH,750,2.12,3,2026-06-26T07:03:11.836Z,2026-08-22T21:36:44.318Z
6a3e242f2f2b2f71f964fd4a,Chocolate,CoCo,80,5.9375,2,2026-06-26T07:03:11.927Z,2026-08-22T21:36:33.691Z
6a3e24302f2b2f71f964fd4c,Burberry Her,BurH,80,14,2,2026-06-26T07:03:12.017Z,2026-08-22T21:36:36.057Z
6a3e24302f2b2f71f964fd4e,Hawas For Him,HFH,80,11.25,2,2026-06-26T07:03:12.110Z,2026-08-22T21:36:38.521Z
6a3e24302f2b2f71f964fd50,White Oud,WO,25,12,1,2026-06-26T07:03:12.202Z,2026-08-22T21:36:50.623Z
6a3e24302f2b2f71f964fd52,Pure Seduction,PuSD,30,13,1,2026-06-26T07:03:12.291Z,2026-08-22T21:36:49.050Z
6a3e24302f2b2f71f964fd54,Prada Candy,PRCn,50,12,1,2026-06-26T07:03:12.480Z,2026-08-22T21:36:49.463Z
6a3e24302f2b2f71f964fd56,Fogg,Fgg,30,7,1,2026-06-26T07:03:12.617Z,2026-08-22T21:36:49.971Z
6a3e24302f2b2f71f964fd58,Dunhill Icon,DunIco,80,14,3,2026-06-26T07:03:12.734Z,2026-08-22T21:36:32.794Z
6a3e24302f2b2f71f964fd5c,Diptyque tam dao,DipTam,60,18,2,2026-06-26T07:03:12.836Z,2026-08-22T21:36:46.596Z
6a3e24302f2b2f71f964fd60,Creed Aventus,CreAve,130,12.23076923076923,3,2026-06-26T07:03:12.930Z,2026-08-22T21:36:44.079Z
6a3e24312f2b2f71f964fd63,Gucci Flora,GucFla,100,13,3,2026-06-26T07:03:13.025Z,2026-08-22T21:36:42.998Z
6a3e24312f2b2f71f964fd67,Creed absolute,CreAbs,45,33.222,2,2026-06-26T07:03:13.119Z,2026-08-22T21:36:51.152Z
6a3e24312f2b2f71f964fd69,SRK,SR,47,28.799999999999997,1,2026-06-26T07:03:13.213Z,2026-06-26T07:03:13.213Z
6a3e24312f2b2f71f964fd6b,Luxe Special,LUXE1,27,17.5,1,2026-06-26T07:03:13.306Z,2026-06-26T07:03:13.306Z
6a3e24312f2b2f71f964fd6d,Fantasy Perfume (ready),Fant_2,9.8464,20,1,2026-06-26T07:03:13.401Z,2026-08-22T21:18:27.410Z
6a3e24312f2b2f71f964fd6f,Dunhill Icon,DunIco_2,3.5,28.571428571428573,1,2026-06-26T07:03:13.494Z,2026-06-26T07:03:13.494Z
6a3e24312f2b2f71f964fd71,SRK,SR2,0,28.333333333333332,1,2026-06-26T07:03:13.589Z,2026-08-22T21:16:35.207Z
6a3e24312f2b2f71f964fd73,Iso E Super,Iso,50,4,1,2026-06-26T07:03:13.680Z,2026-08-22T21:36:51.866Z
6a3e24312f2b2f71f964fd7a,Galaxolide,Glx,40,5,1,2026-06-26T07:03:13.775Z,2026-08-22T21:36:52.140Z
6a3e24312f2b2f71f964fd82,Ambroxan,Ambx,30,12,1,2026-06-26T07:03:13.864Z,2026-08-22T21:36:52.297Z
6a3e24312f2b2f71f964fd89,Nautica voyage,NV,60,13,2,2026-06-26T07:03:13.957Z,2026-08-22T21:36:40.431Z
6a77727221fc6555b5eaad44,le male elixir,LeME,30,14,1,2026-08-08T18:16:18.645Z,2026-08-22T21:36:34.587Z
6a77731f21fc6555b5eab138,Versace Eros Flame,VrEf,30,16,1,2026-08-08T18:19:11.833Z,2026-08-22T21:36:36.469Z
6a77734b21fc6555b5eab139,lacoste White,LaW,30,8,1,2026-08-08T18:19:55.551Z,2026-08-22T21:36:36.808Z
6a7773a121fc6555b5eab13a,Ariana Grande thank you,AG-Thnk,30,16,1,2026-08-08T18:21:21.930Z,2026-08-22T21:36:37.474Z
6a7773ce21fc6555b5eab13b,Hawas Ice,HI,30,11,1,2026-08-08T18:22:06.346Z,2026-08-22T21:36:38.009Z
6a77740b21fc6555b5eab13c,Black Orchid,BLOr,30,13,1,2026-08-08T18:23:07.972Z,2026-08-22T21:36:38.842Z
6a77744021fc6555b5eab13d,Sultan (al-haramain),SUL,30,16,1,2026-08-08T18:24:00.231Z,2026-08-22T21:36:39.053Z
6a77747b21fc6555b5eab13e,Ariana Grande Cloud,AGC,30,14,1,2026-08-08T18:24:59.573Z,2026-08-22T21:36:39.398Z
6a7774b221fc6555b5eab13f,Valentino,Valen,30,16,1,2026-08-08T18:25:54.203Z,2026-08-22T21:36:39.674Z
